Zeit_UTC;°C_Umgebung;kW_gemessen;kW_gem_Umluftkassetten
2019-12-19 15:30:00;4.0;5.16963;1.16438
2019-12-19 15:40:00;4.0;5.156357;1.239552
2019-12-19 15:50:00;3.8;5.16905;1.210605
2019-12-19 16:00:00;4.1;5.184562;1.154072
2019-12-19 16:10:00;3.7;5.159154;1.195494
2019-12-19 16:20:00;4.5;5.150308;1.205868
2019-12-19 16:30:00;4.1;5.156968;1.204428
2019-12-19 16:40:00;3.3;5.176794;1.19047
2019-12-19 16:50:00;4.4;5.164382;1.204186
2019-12-19 17:00:00;5.9;5.172428;1.134808
2019-12-19 17:10:00;6.1;5.143886;1.57125
2019-12-19 17:20:00;7.0;5.142794;1.571172
2019-12-19 17:30:00;6.7;5.15062;1.40419
2019-12-19 17:40:00;6.7;5.24626;1.279038
2019-12-19 17:50:00;6.2;5.221352;1.2109
2019-12-19 18:00:00;6.8;5.137836;1.114808
2019-12-19 18:10:00;6.8;5.191324;1.115692
2019-12-19 18:20:00;6.7;5.159834;1.128436
2019-12-19 18:30:00;6.5;5.15392;1.149692
2019-12-19 18:40:00;5.7;5.194722;1.192154
2019-12-19 18:50:00;5.5;5.15144;1.251762
2019-12-19 19:00:00;6.0;5.1427;1.215267
2019-12-19 19:10:00;6.3;5.147576;1.26168
2019-12-19 19:20:00;5.9;5.144692;1.286774
2019-12-19 19:30:00;6.6;5.143052;1.26908
2019-12-19 19:40:00;7.5;5.238556;1.235876
2019-12-19 19:50:00;6.7;5.200308;1.241844
2019-12-19 20:00:00;6.6;5.151816;0.859736
2019-12-19 20:10:00;6.6;5.232784;1.706326
2019-12-19 20:20:00;7.0;5.175276;1.494632
2019-12-19 20:30:00;7.0;5.160868;1.385842
2019-12-19 20:40:00;7.0;5.181462;1.312155
2019-12-19 20:50:00;7.3;5.165082;1.368232
2019-12-19 21:00:00;7.5;5.173586;1.338716
2019-12-19 21:10:00;9.0;5.19277;1.394086
2019-12-19 21:20:00;9.9;5.841064;1.412754
2019-12-19 21:30:00;9.8;6.555905;1.338775
2019-12-19 21:40:00;10.1;7.037692;1.34427
2019-12-19 21:50:00;9.4;6.552258;1.374512
