Datum;°C_Umgebung;kW_gemessen;kW_Baseline
2021-10-01;11.4;42.541975;405.3582
2021-10-02;15.3;43.6467;467.2239
2021-10-03;16.6;45.521739;487.8458
2021-10-04;11.6;46.127588;408.5308
2021-10-05;11.5;43.095928;406.9445
2021-10-06;9.8;45.040675;379.9774
2021-10-07;10.7;43.926575;394.2541
2021-10-08;11.0;42.701463;399.013
2021-10-09;10.2;42.813703;386.3226
2021-10-10;8.5;43.285862;359.3555
2021-10-11;6.5;45.360416;327.6295
2021-10-12;8.2;44.866747;354.5966
2021-10-13;5.9;44.620602;318.1117
2021-10-14;7.7;43.886986;346.6651
2021-10-15;8.0;46.828415;351.424
2021-10-16;9.1;51.601091;368.8733
2021-10-17;7.8;53.293887;348.2514
2021-10-18;6.2;49.114421;322.8706
2021-10-19;12.7;47.418134;425.9801
2021-10-20;14.3;45.24892;451.3609
2021-10-21;10.2;50.720011;386.3226
2021-10-22;5.7;49.732223;314.9391
2021-10-23;6.9;53.084161;333.9747
2021-10-24;6.5;51.868062;327.6295
2021-10-25;8.9;48.051789;365.7007
2021-10-26;10.0;49.541846;383.15
2021-10-27;9.9;48.419421;381.5637
2021-10-28;7.9;48.650218;349.8377
2021-10-29;10.8;46.694659;395.8404
2021-10-30;10.2;52.396337;386.3226
2021-10-31;14.3;48.090763;451.3609
2021-11-01;9.6;50.377346;376.8048
2021-11-02;6.8;49.18458;332.3884
2021-11-03;6.7;49.283382;330.8021
2021-11-04;5.6;48.389094;314.94
2021-11-05;6.5;50.002192;327.6295
2021-11-06;3.8;53.54684;314.94
2021-11-07;5.1;51.100071;314.94
2021-11-08;3.1;50.444904;314.94
2021-11-09;3.7;50.256327;314.94
2021-11-10;2.6;50.621347;314.94
2021-11-11;0.4;50.652045;314.94
2021-11-12;0.3;50.439111;314.94
2021-11-13;5.0;51.239431;314.94
2021-11-14;7.7;52.912064;346.6651
2021-11-15;6.5;49.998813;327.6295
2021-11-16;5.4;50.225311;314.94
2021-11-17;4.8;45.061719;314.94
2021-11-18;6.0;50.243705;319.698
2021-11-19;6.4;50.08959;326.0432
2021-11-20;5.0;53.118034;314.94
2021-11-21;3.3;53.17232;314.94
2021-11-22;4.4;49.536706;314.94
2021-11-23;1.9;50.609823;314.94
2021-11-24;2.2;47.654522;314.94
2021-11-25;0.4;50.015485;314.94
2021-11-26;0.7;49.425511;314.94
2021-11-27;1.7;52.253992;314.94
2021-11-28;1.1;52.611753;314.94
2021-11-29;0.5;50.275164;314.94
2021-11-30;2.2;49.767297;314.94
2021-12-01;4.7;44.25002;314.94
2021-12-02;2.7;49.591267;314.94
2021-12-03;0.0;50.05667;314.94
2021-12-04;4.4;52.645744;314.94
2021-12-05;2.7;52.912871;314.94
2021-12-06;0.6;50.143702;314.94
2021-12-07;3.1;49.784636;314.94
2021-12-08;3.8;47.201768;314.94
2021-12-09;1.8;49.906561;314.94
2021-12-10;1.3;49.525259;314.94
2021-12-11;1.6;53.256085;314.94
2021-12-12;2.7;53.57405;314.94
2021-12-13;5.1;45.432977;314.94
2021-12-14;3.9;50.375334;314.94
2021-12-15;4.3;50.278875;314.94
2021-12-16;5.8;50.396899;316.5254
2021-12-17;6.0;50.414855;319.698
2021-12-18;2.9;53.610286;314.94
2021-12-19;2.5;53.552837;314.94
2021-12-20;2.5;48.14082;314.94
2021-12-21;-1.8;50.567911;314.94
2021-12-22;-3.8;50.638215;314.94
2021-12-23;1.4;50.228288;314.94
2021-12-24;6.6;49.773609;329.2158
2021-12-25;5.8;52.77839;316.5254
2021-12-26;2.3;52.871891;314.94
2021-12-27;7.7;49.330467;346.6651
2021-12-28;8.4;49.136528;357.7692
2021-12-29;8.8;49.220052;364.1144
2021-12-30;12.4;49.520436;421.2212
2021-12-31;9.1;50.241763;368.8733
2022-01-01;8.9;53.018569;365.7007
2022-01-02;8.2;52.123111;354.5966
2022-01-03;9.4;49.541192;373.6322
2022-01-04;7.2;49.236572;338.7336
2022-01-05;2.0;49.679918;314.94
2022-01-06;1.8;50.252263;314.94
2022-01-07;0.3;50.332043;314.94
2022-01-08;1.8;52.788962;314.94
2022-01-09;2.3;52.358421;314.94
2022-01-10;-1.7;50.835263;314.94
2022-01-11;-0.2;51.012553;314.94
2022-01-12;-0.1;51.168998;314.94
2022-01-13;-0.4;51.124114;314.94
2022-01-14;1.9;50.763351;314.94
2022-01-15;-1.1;53.777887;314.94
2022-01-16;-0.6;53.974356;314.94
2022-01-17;1.3;50.878436;314.94
2022-01-18;3.7;47.024049;314.94
2022-01-19;0.9;50.347096;314.94
2022-01-20;1.6;50.331951;314.94
2022-01-21;1.3;50.534699;314.94
2022-01-22;2.9;53.708101;314.94
2022-01-23;3.1;53.927474;314.94
2022-01-24;1.6;50.734711;314.94
2022-01-25;-1.8;51.224383;314.94
2022-01-26;-1.7;51.41773;314.94
2022-01-27;-0.9;50.921056;314.94
2022-01-28;2.6;50.665089;314.94
2022-01-29;2.5;53.549185;314.94
2022-01-30;3.6;50.710417;314.94
2022-01-31;3.1;46.873083;314.94
2022-02-01;2.9;49.75841;314.94
2022-02-02;7.0;49.618636;335.561
2022-02-03;6.0;49.64721;319.698
2022-02-04;4.7;45.318588;314.94
2022-02-05;1.9;53.57366;314.94
2022-02-06;4.3;52.793661;314.94
2022-02-07;2.9;50.382573;314.94
