Zeit_CET/CEST;°C_Umgebung;kW_gemessen
2021-06-11 21:10:00;23.9;19.459745
2021-06-11 21:30:00;23.1;18.93219
2021-06-11 21:40:00;23.1;18.94962
2021-06-11 21:50:00;22.0;18.84199
2021-06-11 22:00:00;21.6;19.56661
2021-06-11 22:10:00;21.2;20.21101
2021-06-11 22:20:00;21.6;18.90385
2021-06-11 22:30:00;21.6;18.94579
2021-06-11 22:40:00;21.1;18.91615
2021-06-11 22:50:00;20.4;17.94061
2021-06-11 23:00:00;19.5;18.78526
2021-06-11 23:20:00;19.7;15.36555
2021-06-11 23:30:00;19.3;17.89369
2021-06-11 23:40:00;19.3;17.11038
2021-06-11 23:50:00;18.9;17.03974
2021-06-12 00:00:00;18.8;17.02334
2021-06-12 00:10:00;18.4;16.97811
2021-06-12 00:20:00;18.4;18.46537
2021-06-12 00:30:00;18.3;18.43863
2021-06-12 00:40:00;18.2;16.96674
2021-06-12 00:50:00;17.9;16.85382
2021-06-12 01:00:00;17.9;16.86048
2021-06-12 01:10:00;17.6;16.90652
2021-06-12 01:20:00;17.3;11.0398
2021-06-12 01:30:00;17.3;9.9656
2021-06-12 01:40:00;16.8;9.97997
2021-06-12 01:50:00;16.7;10.02106
2021-06-12 02:00:00;16.6;10.03407
2021-06-12 02:10:00;16.4;10.04846
2021-06-12 02:30:00;16.4;9.98527
2021-06-12 02:40:00;16.1;9.21093
2021-06-12 02:50:00;16.0;9.1672
2021-06-12 03:00:00;16.0;7.82859
2021-06-12 03:10:00;15.9;9.1415
2021-06-12 03:20:00;15.9;9.27972
2021-06-12 03:30:00;15.7;9.22349
2021-06-12 03:40:00;15.5;7.92287
2021-06-12 03:50:00;15.6;7.95211
2021-06-12 04:00:00;15.5;9.13287
2021-06-12 04:10:00;15.5;9.24548
2021-06-12 04:20:00;15.4;9.02835
2021-06-12 04:30:00;15.3;9.24065
2021-06-12 04:40:00;15.1;7.77359
2021-06-12 04:50:00;15.0;7.95299
2021-06-12 05:00:00;14.9;7.93587
2021-06-12 05:10:00;15.0;8.08587
2021-06-12 05:20:00;14.9;8.05147
2021-06-12 05:40:00;14.6;7.88519
2021-06-12 05:50:00;14.7;7.73108
2021-06-12 06:00:00;14.5;8.08365
2021-06-12 06:10:00;14.8;7.98529
2021-06-12 06:20:00;14.7;7.95646
2021-06-12 06:30:00;14.8;7.92306
2021-06-12 06:40:00;15.3;9.09685
2021-06-12 07:00:00;16.5;9.56864
2021-06-12 07:10:00;16.7;8.24727
2021-06-12 07:20:00;16.6;9.42441
2021-06-12 07:30:00;17.0;9.99358
