Zeit_CET/CEST;°C_Umgebung;kW_Lastgang
2020-06-16 14:00:00;23.0;78.336
2020-06-16 14:15:00;22.4;80.784
2020-06-16 14:30:00;22.0;73.236
2020-06-16 14:45:00;22.4;69.768
2020-06-16 15:00:00;23.4;69.972
2020-06-16 15:15:00;22.0;65.28
2020-06-16 15:30:00;22.1;77.52
2020-06-16 15:45:00;22.1;73.644
2020-06-16 16:00:00;22.3;65.484
2020-06-16 16:15:00;22.4;72.624
2020-06-16 16:30:00;22.2;77.52
2020-06-16 16:45:00;22.4;65.688
2020-06-16 17:00:00;22.5;73.44
2020-06-16 17:15:00;22.6;67.728
2020-06-16 17:30:00;22.9;79.56
2020-06-16 17:45:00;22.1;74.052
2020-06-16 18:00:00;23.2;88.128
2020-06-16 18:15:00;22.2;88.332
2020-06-16 18:30:00;21.7;73.848
2020-06-16 18:45:00;21.6;88.74
2020-06-16 19:00:00;21.6;92.82
2020-06-16 19:15:00;21.5;84.66
2020-06-16 19:30:00;21.9;76.908
2020-06-16 19:45:00;21.2;71.4
2020-06-16 20:00:00;21.0;67.32
2020-06-16 20:15:00;20.3;88.74
2020-06-16 20:30:00;20.2;77.316
2020-06-16 20:45:00;19.1;79.152
2020-06-16 21:00:00;18.7;75.276
2020-06-16 21:15:00;18.3;65.892
2020-06-16 21:30:00;18.3;63.444
2020-06-16 21:45:00;18.1;83.844
2020-06-16 22:00:00;18.0;67.524
2020-06-16 22:15:00;17.8;75.684
2020-06-16 22:30:00;17.7;67.932
2020-06-16 22:45:00;17.1;62.424
2020-06-16 23:00:00;16.8;62.424
2020-06-16 23:15:00;16.6;67.524
2020-06-16 23:30:00;16.5;57.936
2020-06-16 23:45:00;16.1;62.832
2020-06-17 00:00:00;15.8;63.648
2020-06-17 00:15:00;15.7;59.568
2020-06-17 00:30:00;15.5;61.2
2020-06-17 00:45:00;15.3;60.384
2020-06-17 01:00:00;15.2;57.528
2020-06-17 01:15:00;14.9;61.608
2020-06-17 01:30:00;14.9;63.852
2020-06-17 01:45:00;15.0;56.1
2020-06-17 02:00:00;14.9;50.388
2020-06-17 02:15:00;14.8;45.9
2020-06-17 02:30:00;14.8;44.472
2020-06-17 02:45:00;14.9;45.492
2020-06-17 03:00:00;14.9;45.492
2020-06-17 03:15:00;15.0;35.7
2020-06-17 03:30:00;14.9;38.148
2020-06-17 03:45:00;14.6;37.944
2020-06-17 04:00:00;14.4;37.536
2020-06-17 04:15:00;14.3;39.372
2020-06-17 04:30:00;14.0;38.352
2020-06-17 04:45:00;14.0;37.944
2020-06-17 05:00:00;14.0;40.188
2020-06-17 05:15:00;14.0;39.168
2020-06-17 05:30:00;14.2;37.128
2020-06-17 05:45:00;14.1;35.496
2020-06-17 06:00:00;14.3;33.456
2020-06-17 06:15:00;14.6;33.048
2020-06-17 06:30:00;14.7;34.476
2020-06-17 06:45:00;15.1;33.66
2020-06-17 07:00:00;15.1;31.824
2020-06-17 07:15:00;15.3;32.64
2020-06-17 07:30:00;15.7;36.924
2020-06-17 07:45:00;16.0;37.944
2020-06-17 08:00:00;16.0;36.108
2020-06-17 08:15:00;16.3;36.108
2020-06-17 08:30:00;16.3;35.7
2020-06-17 08:45:00;16.5;35.292
2020-06-17 09:00:00;16.7;43.86
2020-06-17 09:15:00;17.0;42.228
2020-06-17 09:30:00;17.2;52.224
2020-06-17 09:45:00;17.6;61.608
2020-06-17 10:00:00;17.3;55.692
2020-06-17 10:15:00;17.3;68.136
2020-06-17 10:30:00;17.2;58.14
2020-06-17 10:45:00;17.2;60.792
2020-06-17 11:00:00;16.9;65.076
2020-06-17 11:15:00;16.7;58.752
2020-06-17 11:30:00;16.6;55.488
2020-06-17 11:45:00;17.5;70.38
2020-06-17 12:00:00;18.0;66.504
2020-06-17 12:15:00;18.2;66.504
2020-06-17 12:30:00;18.4;73.032
2020-06-17 12:45:00;18.8;79.968
2020-06-17 13:00:00;18.7;72.012
2020-06-17 13:15:00;18.4;67.116
2020-06-17 13:30:00;18.3;76.296
2020-06-17 13:45:00;18.0;69.156
2020-06-17 14:00:00;18.0;78.336
2020-06-17 14:15:00;17.7;69.564
2020-06-17 14:30:00;17.2;76.5
2020-06-17 14:45:00;16.3;68.748
2020-06-17 15:00:00;15.9;55.08
2020-06-17 15:15:00;15.7;58.548
2020-06-17 15:30:00;15.6;61.608
2020-06-17 15:45:00;15.6;64.668
2020-06-17 16:00:00;15.8;70.176
2020-06-17 16:15:00;15.9;66.708
2020-06-17 16:30:00;15.8;66.912
2020-06-17 16:45:00;15.9;71.604
2020-06-17 17:00:00;15.8;64.056
2020-06-17 17:15:00;15.7;62.832
2020-06-17 17:30:00;15.7;63.444
2020-06-17 17:45:00;15.7;71.604
2020-06-17 18:00:00;15.7;77.112
2020-06-17 18:15:00;15.7;89.964
2020-06-17 18:30:00;15.7;71.196
2020-06-17 18:45:00;15.7;78.132
2020-06-17 19:00:00;15.7;71.604
2020-06-17 19:15:00;15.8;67.32
2020-06-17 19:30:00;15.7;74.46
2020-06-17 19:45:00;15.6;83.64
2020-06-17 20:00:00;15.5;71.808
2020-06-17 20:15:00;15.4;73.032
2020-06-17 20:30:00;15.4;74.46
2020-06-17 20:45:00;15.4;70.788
2020-06-17 21:00:00;15.0;64.464
2020-06-17 21:15:00;14.8;67.932
2020-06-17 21:30:00;14.7;68.34
2020-06-17 21:45:00;14.4;65.688
2020-06-17 22:00:00;14.3;69.36
2020-06-17 22:15:00;14.1;60.588
2020-06-17 22:30:00;13.8;69.768
2020-06-17 22:45:00;13.5;59.568
2020-06-17 23:00:00;13.2;59.16
2020-06-17 23:15:00;13.1;61.404
2020-06-17 23:30:00;13.2;57.528
2020-06-17 23:45:00;12.5;54.672
2020-06-18 00:00:00;12.4;60.18
2020-06-18 00:15:00;12.0;59.568
2020-06-18 00:30:00;12.1;44.88
2020-06-18 00:45:00;12.0;63.036
2020-06-18 01:00:00;12.0;54.876
2020-06-18 01:15:00;11.5;55.284
2020-06-18 01:30:00;11.7;49.368
2020-06-18 01:45:00;12.1;49.98
2020-06-18 02:00:00;12.1;44.676
2020-06-18 02:15:00;12.5;39.168
2020-06-18 02:30:00;12.3;36.516
2020-06-18 02:45:00;12.4;36.108
2020-06-18 03:00:00;12.3;35.292
2020-06-18 03:15:00;11.7;34.884
2020-06-18 03:30:00;12.0;35.292
2020-06-18 03:45:00;12.0;32.028
2020-06-18 04:00:00;11.8;32.028
2020-06-18 04:15:00;11.6;30.192
2020-06-18 04:30:00;11.3;28.152
2020-06-18 04:45:00;11.4;28.56
2020-06-18 05:00:00;11.5;31.62
2020-06-18 05:15:00;12.0;33.048
2020-06-18 05:30:00;11.9;34.884
2020-06-18 05:45:00;11.9;31.824
2020-06-18 06:00:00;11.8;28.968
2020-06-18 06:15:00;11.8;29.172
2020-06-18 06:30:00;11.6;30.192
2020-06-18 06:45:00;11.9;29.784
2020-06-18 07:00:00;12.3;29.58
2020-06-18 07:15:00;12.9;31.62
2020-06-18 07:30:00;13.7;31.824
2020-06-18 07:45:00;13.7;32.64
2020-06-18 08:00:00;14.6;33.456
2020-06-18 08:15:00;15.2;29.172
2020-06-18 08:30:00;15.7;28.764
2020-06-18 08:45:00;16.1;31.62
2020-06-18 09:00:00;16.9;30.804
2020-06-18 09:15:00;17.5;41.616
2020-06-18 09:30:00;17.5;54.06
2020-06-18 09:45:00;18.3;57.528
2020-06-18 10:00:00;17.7;61.608
2020-06-18 10:15:00;18.9;65.28
2020-06-18 10:30:00;18.4;58.548
2020-06-18 10:45:00;18.7;62.832
2020-06-18 11:00:00;19.0;53.652
2020-06-18 11:15:00;19.3;56.1
2020-06-18 11:30:00;21.0;62.832
2020-06-18 11:45:00;20.6;67.524
2020-06-18 12:00:00;20.5;74.868
2020-06-18 12:15:00;20.6;84.456
2020-06-18 12:30:00;20.5;81.396
2020-06-18 12:45:00;21.2;85.68
2020-06-18 13:00:00;21.6;73.236
2020-06-18 13:15:00;21.0;78.336
2020-06-18 13:30:00;21.2;73.848
2020-06-18 13:45:00;22.1;73.44
2020-06-18 14:00:00;21.9;78.744
2020-06-18 14:15:00;22.3;74.052
2020-06-18 14:30:00;22.0;69.564
2020-06-18 14:45:00;22.5;78.948
2020-06-18 15:00:00;23.5;73.44
2020-06-18 15:15:00;22.6;67.728
2020-06-18 15:30:00;22.2;73.032
2020-06-18 15:45:00;21.7;67.932
2020-06-18 16:00:00;22.0;63.648
2020-06-18 16:15:00;22.6;64.056
2020-06-18 16:30:00;22.0;72.216
2020-06-18 16:45:00;22.7;70.992
2020-06-18 17:00:00;22.3;72.624
2020-06-18 17:15:00;22.2;66.096
2020-06-18 17:30:00;22.6;72.42
2020-06-18 17:45:00;22.9;75.684
2020-06-18 18:00:00;22.9;82.416
2020-06-18 18:15:00;23.3;90.372
2020-06-18 18:30:00;23.2;90.984
2020-06-18 18:45:00;22.6;92.616
2020-06-18 19:00:00;22.8;90.78
2020-06-18 19:15:00;22.3;80.172
2020-06-18 19:30:00;21.9;76.908
2020-06-18 19:45:00;22.2;80.172
2020-06-18 20:00:00;22.1;74.868
2020-06-18 20:15:00;21.5;85.068
2020-06-18 20:30:00;20.9;72.42
2020-06-18 20:45:00;20.5;63.852
2020-06-18 21:00:00;20.4;72.216
2020-06-18 21:15:00;19.3;69.768
2020-06-18 21:30:00;18.7;69.972
2020-06-18 21:45:00;18.1;75.888
2020-06-18 22:00:00;18.2;70.176
2020-06-18 22:15:00;17.5;75.48
2020-06-18 22:30:00;17.3;71.196
2020-06-18 22:45:00;17.0;70.584
2020-06-18 23:00:00;16.4;71.196
2020-06-18 23:15:00;16.0;69.564
2020-06-18 23:30:00;15.8;65.688
2020-06-18 23:45:00;15.7;72.828
2020-06-19 00:00:00;15.5;68.952
2020-06-19 00:15:00;15.1;67.728
2020-06-19 00:30:00;15.2;69.564
2020-06-19 00:45:00;15.0;65.688
2020-06-19 01:00:00;14.7;59.976
2020-06-19 01:15:00;14.4;54.672
2020-06-19 01:30:00;14.3;59.976
2020-06-19 01:45:00;14.2;61.608
2020-06-19 02:00:00;14.2;56.712
2020-06-19 02:15:00;13.9;55.692
2020-06-19 02:30:00;13.9;47.532
2020-06-19 02:45:00;14.1;44.064
2020-06-19 03:00:00;14.2;45.084
2020-06-19 03:15:00;14.4;37.944
2020-06-19 03:30:00;14.5;39.168
2020-06-19 03:45:00;14.1;37.944
2020-06-19 04:00:00;14.1;33.864
2020-06-19 04:15:00;13.8;34.272
2020-06-19 04:30:00;13.6;37.332
2020-06-19 04:45:00;13.4;36.312
2020-06-19 05:00:00;13.4;37.74
2020-06-19 05:15:00;13.5;37.74
2020-06-19 05:30:00;13.7;34.068
2020-06-19 05:45:00;13.5;32.232
2020-06-19 06:00:00;13.3;32.232
2020-06-19 06:15:00;13.1;34.476
2020-06-19 06:30:00;13.1;31.824
2020-06-19 06:45:00;13.2;29.988
2020-06-19 07:00:00;13.3;29.988
2020-06-19 07:15:00;13.7;31.008
2020-06-19 07:30:00;13.8;32.028
2020-06-19 07:45:00;14.3;33.048
2020-06-19 08:00:00;14.8;29.172
2020-06-19 08:15:00;15.9;55.08
2020-06-19 08:30:00;15.7;43.044
2020-06-19 08:45:00;16.5;38.352
2020-06-19 09:00:00;16.7;44.472
2020-06-19 09:15:00;17.2;46.716
2020-06-19 09:30:00;17.7;47.124
2020-06-19 09:45:00;18.2;56.304
2020-06-19 10:00:00;18.2;65.892
2020-06-19 10:15:00;18.6;64.26
2020-06-19 10:30:00;18.6;52.02
2020-06-19 10:45:00;18.8;53.04
2020-06-19 11:00:00;19.0;53.856
2020-06-19 11:15:00;19.0;55.896
2020-06-19 11:30:00;18.7;72.828
2020-06-19 11:45:00;18.9;58.752
2020-06-19 12:00:00;18.7;70.788
2020-06-19 12:15:00;19.4;86.088
2020-06-19 12:30:00;18.9;80.988
2020-06-19 12:45:00;19.4;62.016
2020-06-19 13:00:00;19.6;77.316
2020-06-19 13:15:00;19.8;73.44
2020-06-19 13:30:00;20.0;75.276
2020-06-19 13:45:00;20.6;66.3
2020-06-19 14:00:00;20.7;67.524
2020-06-19 14:15:00;20.6;78.744
2020-06-19 14:30:00;20.6;82.62
2020-06-19 14:45:00;20.6;79.56
2020-06-19 15:00:00;20.6;77.316
2020-06-19 15:15:00;21.2;76.704
2020-06-19 15:30:00;21.3;63.444
2020-06-19 15:45:00;21.1;77.52
2020-06-19 16:00:00;20.9;75.276
2020-06-19 16:15:00;20.8;72.828
2020-06-19 16:30:00;21.4;74.664
2020-06-19 16:45:00;21.4;73.44
2020-06-19 17:00:00;21.8;73.644
2020-06-19 17:15:00;22.1;80.58
2020-06-19 17:30:00;22.1;78.744
2020-06-19 17:45:00;22.6;82.212
2020-06-19 18:00:00;22.4;79.152
2020-06-19 18:15:00;21.7;82.008
2020-06-19 18:30:00;20.4;80.172
2020-06-19 18:45:00;19.7;74.256
2020-06-19 19:00:00;19.7;77.316
2020-06-19 19:15:00;20.7;81.396
2020-06-19 19:30:00;21.0;88.332
2020-06-19 19:45:00;20.9;97.716
2020-06-19 20:00:00;20.1;79.356
2020-06-19 20:15:00;19.5;74.052
2020-06-19 20:30:00;19.3;88.128
2020-06-19 20:45:00;19.0;78.336
2020-06-19 21:00:00;18.5;85.272
2020-06-19 21:15:00;17.8;77.316
2020-06-19 21:30:00;17.4;65.28
2020-06-19 21:45:00;16.3;82.212
2020-06-19 22:00:00;15.8;88.332
2020-06-19 22:15:00;15.3;69.156
2020-06-19 22:30:00;15.1;71.604
2020-06-19 22:45:00;14.9;81.192
2020-06-19 23:00:00;15.0;68.136
2020-06-19 23:15:00;14.5;73.032
2020-06-19 23:30:00;14.3;61.2
2020-06-19 23:45:00;14.3;77.316
2020-06-20 00:00:00;14.3;83.232
2020-06-20 00:15:00;14.2;81.804
2020-06-20 00:30:00;14.2;78.948
2020-06-20 00:45:00;14.1;78.336
