Zeit_CET/CEST;°C_Umgebung;kW_gemessen;kW_Baseline;kW_Baseline_Öffnungszeiten_korrigiert
2021-10-09 00:00:00;6.7;4.891562;17.508485;13.838111
2021-10-09 00:15:00;6.7;4.857984;17.508485;13.838111
2021-10-09 00:30:00;6.2;4.815076;16.979632;13.838111
2021-10-09 00:45:00;5.8;4.839792;16.55655;13.838111
2021-10-09 01:00:00;6.0;0.464773;16.768091;16.768091
2021-10-09 01:15:00;6.2;0.12368;16.926747;16.926747
2021-10-09 01:30:00;6.2;0.122869;16.979632;16.979632
2021-10-09 01:45:00;5.8;0.122756;16.609435;16.609435
2021-10-09 02:00:00;5.7;0.121964;16.450779;16.450779
2021-10-09 02:15:00;5.2;0.121692;15.869041;15.869041
2021-10-09 02:30:00;4.9;0.119013;15.604614;15.604614
2021-10-09 02:45:00;5.2;0.120009;15.921926;15.921926
2021-10-09 03:00:00;4.7;0.121313;15.393073;15.393073
2021-10-09 03:15:00;4.8;0.12302;15.551729;15.551729
2021-10-09 03:30:00;4.8;0.123207;15.498844;15.498844
2021-10-09 03:45:00;5.6;0.12309;16.292123;16.292123
2021-10-09 04:00:00;5.6;0.122388;16.345009;16.345009
2021-10-09 04:15:00;5.8;0.122211;16.503665;16.503665
2021-10-09 04:30:00;5.1;0.121964;15.816156;15.816156
2021-10-09 04:45:00;5.3;0.122755;16.027697;16.027697
2021-10-09 05:00:00;5.2;0.121607;15.921926;15.921926
2021-10-09 05:15:00;4.9;0.120928;15.604614;15.604614
2021-10-09 05:30:00;4.9;0.12049;15.604614;15.604614
2021-10-09 05:45:00;5.2;0.120109;15.869041;15.869041
2021-10-09 06:00:00;5.2;0.11969;15.921926;15.921926
2021-10-09 06:15:00;5.6;0.119064;16.292123;16.292123
2021-10-09 06:30:00;5.5;0.1204;16.239238;16.239238
2021-10-09 06:45:00;5.4;0.121147;16.133467;16.133467
2021-10-09 07:00:00;5.2;0.123202;15.921926;15.921926
