Zeit_UTC;°C_Umgebung;kW_gemessen;kW_Baseline
2022-06-29 16:40:00;21.2;15.106514;12.360607
2022-06-29 16:50:00;21.4;15.856649;12.611815
2022-06-29 17:00:00;21.2;9.060358;12.360607
2022-06-29 17:10:00;20.9;8.124221;11.983794
2022-06-29 17:20:00;21.1;6.511175;12.235003
2022-06-29 17:30:00;21.4;1.786125;12.611815
2022-06-29 17:40:00;21.2;1.233381;12.360607
2022-06-29 17:50:00;21.5;5.145327;12.73742
2022-06-29 18:00:00;21.6;1.906277;12.863024
2022-06-29 18:10:00;21.8;5.075258;13.114232
2022-06-29 18:20:00;21.7;5.548934;12.988628
2022-06-29 18:30:00;21.3;7.400292;12.486211
2022-06-29 18:40:00;21.0;9.245683;12.109398
2022-06-29 18:50:00;20.7;-999.0;13.0811
2022-06-29 19:00:00;20.6;-999.0;12.945665
2022-06-29 19:10:00;20.0;-999.0;12.133056
2022-06-29 19:20:00;19.5;0.101432;11.455882
2022-06-29 19:30:00;19.3;0.086609;11.185013
2022-06-29 19:40:00;18.8;0.08512;10.507839
2022-06-29 19:50:00;18.5;0.085486;10.101534
2022-06-29 20:00:00;18.3;0.085861;9.830665
2022-06-29 20:10:00;17.9;0.086802;9.288926
2022-06-29 20:20:00;17.9;0.085313;9.288926
2022-06-29 20:30:00;17.9;0.124464;9.288926
2022-06-29 20:40:00;17.6;0.144452;8.882621
2022-06-29 20:50:00;17.6;0.085841;8.882621
2022-06-29 21:00:00;17.5;0.238147;8.747186
2022-06-29 21:10:00;17.3;0.281743;8.476317
2022-06-29 21:20:00;17.1;0.279897;8.205447
2022-06-29 21:30:00;17.1;0.280039;8.205447
2022-06-29 21:40:00;17.2;-999.0;8.340882
2022-06-29 21:50:00;16.8;-999.0;7.799143
2022-06-29 22:00:00;16.9;-999.0;7.934578
2022-06-29 22:10:00;16.5;-999.0;7.392839
2022-06-29 22:20:00;16.6;-999.0;7.528273
2022-06-29 22:30:00;16.5;-999.0;7.392839
2022-06-29 22:40:00;16.3;-999.0;7.121969
2022-06-29 22:50:00;16.5;-999.0;7.392839
2022-06-29 23:00:00;16.2;-999.0;6.986534
2022-06-29 23:10:00;16.0;-999.0;6.694607
2022-06-29 23:20:00;16.1;-999.0;6.851099
2022-06-29 23:30:00;16.1;-999.0;6.851099
2022-06-29 23:40:00;16.0;-999.0;6.694607
2022-06-29 23:50:00;15.8;-999.0;6.658231
2022-06-30 00:00:00;15.6;-999.0;6.621855
2022-06-30 00:10:00;15.5;-999.0;6.603667
2022-06-30 00:20:00;15.5;-999.0;6.603667
2022-06-30 00:30:00;15.4;-999.0;6.585479
2022-06-30 00:40:00;15.8;-999.0;6.658231
2022-06-30 00:50:00;15.2;-999.0;6.549103
2022-06-30 01:00:00;15.2;-999.0;6.549103
2022-06-30 01:10:00;15.2;-999.0;6.549103
2022-06-30 01:20:00;15.2;-999.0;6.549103
2022-06-30 01:30:00;15.0;-999.0;6.512728
2022-06-30 01:40:00;15.0;-999.0;6.512728
2022-06-30 01:50:00;15.2;-999.0;6.549103
2022-06-30 02:00:00;15.0;-999.0;6.512728
2022-06-30 02:10:00;14.9;-999.0;6.49454
2022-06-30 02:20:00;14.7;-999.0;6.458164
2022-06-30 02:30:00;14.5;-999.0;6.421788
2022-06-30 02:40:00;14.4;-999.0;6.4036
2022-06-30 02:50:00;14.3;-999.0;6.385412
2022-06-30 03:00:00;14.3;-999.0;6.385412
2022-06-30 03:10:00;14.2;-999.0;6.367224
2022-06-30 03:20:00;14.1;-999.0;6.349036
2022-06-30 03:30:00;14.1;-999.0;6.349036
2022-06-30 03:40:00;13.9;-999.0;6.31266
2022-06-30 03:50:00;14.1;-999.0;6.349036
2022-06-30 04:00:00;14.3;-999.0;6.385412
2022-06-30 04:10:00;14.5;-999.0;6.421788
2022-06-30 04:20:00;15.1;-999.0;6.530916
2022-06-30 04:30:00;15.6;-999.0;6.621855
2022-06-30 04:40:00;15.9;-999.0;6.676419
2022-06-30 04:50:00;16.6;-999.0;7.528273
2022-06-30 05:00:00;17.1;-999.0;8.205447
2022-06-30 05:10:00;17.8;-999.0;9.153491
2022-06-30 05:20:00;17.8;-999.0;9.153491
2022-06-30 05:30:00;18.3;-999.0;9.830665
2022-06-30 05:40:00;19.7;-999.0;11.726752
2022-06-30 05:50:00;19.7;-999.0;11.726752
2022-06-30 06:00:00;19.9;-999.0;11.997621
2022-06-30 06:10:00;19.7;-999.0;11.726752
2022-06-30 06:20:00;20.3;-999.0;12.539361
2022-06-30 06:30:00;20.5;-999.0;12.81023
2022-06-30 06:40:00;21.5;0.335924;14.164578
2022-06-30 06:50:00;21.3;1.795776;12.486211
2022-06-30 07:00:00;21.4;4.801837;12.611815
2022-06-30 07:10:00;21.9;4.184181;13.239837
2022-06-30 07:20:00;21.9;4.799814;13.239837
2022-06-30 07:30:00;22.3;4.849178;13.742254
2022-06-30 07:40:00;22.2;5.331769;13.616649
2022-06-30 07:50:00;22.9;5.329976;14.495879
2022-06-30 08:00:00;22.8;5.409779;14.370275
2022-06-30 08:10:00;23.5;4.498196;15.249504
2022-06-30 08:20:00;24.2;5.353649;16.087324
2022-06-30 08:30:00;24.2;5.533506;16.087324
2022-06-30 08:40:00;24.8;5.570463;17.02242
2022-06-30 08:50:00;25.0;5.632446;17.334119
2022-06-30 09:00:00;25.2;5.671107;17.645818
2022-06-30 09:10:00;25.4;5.688678;17.957516
2022-06-30 09:20:00;26.1;5.709399;19.048462
2022-06-30 09:30:00;25.8;5.659209;18.580914
2022-06-30 09:40:00;25.9;5.700736;18.736763
2022-06-30 09:50:00;26.3;5.701369;19.36016
2022-06-30 10:00:00;26.5;5.620736;19.671859
2022-06-30 10:10:00;26.5;5.621505;19.671859
2022-06-30 10:20:00;26.7;5.59313;19.983558
2022-06-30 10:30:00;27.0;5.686326;20.451106
2022-06-30 10:40:00;27.0;5.945941;20.451106
2022-06-30 10:50:00;28.0;6.232639;22.009599
2022-06-30 11:00:00;27.7;8.334423;21.542051
2022-06-30 11:10:00;27.7;11.591867;21.542051
2022-06-30 11:20:00;28.1;12.185303;22.165448
2022-06-30 11:30:00;28.3;12.265436;22.477147
2022-06-30 11:40:00;27.9;8.491679;21.85375
2022-06-30 11:50:00;28.2;5.09962;22.321298
2022-06-30 12:00:00;28.0;9.564981;22.009599
2022-06-30 12:10:00;28.4;11.671435;22.632996
2022-06-30 12:20:00;28.3;12.11796;22.477147
2022-06-30 12:30:00;28.4;12.302355;22.632996
2022-06-30 12:40:00;28.7;11.921695;23.100544
2022-06-30 12:50:00;28.9;11.880817;23.412243
2022-06-30 13:00:00;28.3;12.401229;22.477147
2022-06-30 13:10:00;28.3;12.130923;22.477147
2022-06-30 13:20:00;29.0;12.415844;23.568092
2022-06-30 13:30:00;29.2;12.621053;23.879791
2022-06-30 13:40:00;28.9;12.711673;23.412243
2022-06-30 13:50:00;28.7;12.264582;23.100544
2022-06-30 14:00:00;29.0;11.025222;23.568092
2022-06-30 14:10:00;28.9;10.991486;23.412243
2022-06-30 14:20:00;28.9;10.737817;23.412243
2022-06-30 14:30:00;28.9;10.931284;23.412243
2022-06-30 14:40:00;29.1;10.71147;23.723941
2022-06-30 14:50:00;29.0;10.959281;23.568092
2022-06-30 15:00:00;29.1;10.260739;23.723941
2022-06-30 15:10:00;28.8;11.306557;23.256394
2022-06-30 15:20:00;28.7;11.357522;23.100544
2022-06-30 15:30:00;28.2;10.636223;22.321298
2022-06-30 15:40:00;27.9;10.518684;21.85375
2022-06-30 15:50:00;27.4;10.921403;21.074503
2022-06-30 16:00:00;27.1;10.486511;20.606955
2022-06-30 16:10:00;26.8;10.507593;20.139407
2022-06-30 16:20:00;26.2;10.888782;19.204311
2022-06-30 16:30:00;25.9;11.075787;18.736763
2022-06-30 16:40:00;25.4;10.751312;17.957516
2022-06-30 16:50:00;25.2;10.943605;17.645818
2022-06-30 17:00:00;24.9;11.959593;17.17827
2022-06-30 17:10:00;24.9;10.596261;17.17827
2022-06-30 17:20:00;24.8;9.488312;17.02242
2022-06-30 17:30:00;21.2;9.899399;12.360607
2022-06-30 17:40:00;19.1;2.625915;9.722918
2022-06-30 17:50:00;19.2;2.620163;9.848522
2022-06-30 18:00:00;18.4;2.618952;8.843688
2022-06-30 18:10:00;18.5;2.612872;8.969293
2022-06-30 18:20:00;18.8;2.615405;9.346105
