Zeit_CET/CEST;°C_Umgebung;kW_gemessen;kW_Baseline
2021-09-22 14:30:00;18.4;6.811685;13.500371
2021-09-22 14:40:00;18.4;6.011589;13.500371
2021-09-22 14:50:00;18.3;7.142001;13.368192
2021-09-22 15:00:00;18.1;6.716778;13.103833
2021-09-22 15:10:00;18.2;6.834074;13.236013
2021-09-22 15:20:00;18.5;6.998573;13.63255
2021-09-22 15:30:00;18.5;6.142854;13.63255
2021-09-22 15:40:00;18.7;6.516375;13.896908
2021-09-22 15:50:00;18.4;5.59468;13.500371
2021-09-22 16:00:00;18.5;5.647038;13.63255
2021-09-22 16:10:00;18.5;6.877267;13.63255
2021-09-22 16:20:00;18.5;6.683746;13.63255
2021-09-22 16:30:00;18.7;6.756224;13.896908
2021-09-22 16:40:00;18.4;6.826761;13.500371
2021-09-22 16:50:00;18.4;6.508556;13.500371
2021-09-22 17:00:00;18.6;6.353156;13.764729
2021-09-22 17:10:00;18.8;6.671518;14.029088
2021-09-22 17:20:00;18.4;4.619641;13.500371
2021-09-22 17:30:00;18.2;4.186767;13.236013
2021-09-22 17:40:00;18.2;4.098846;13.236013
2021-09-22 17:50:00;18.1;4.272175;13.103833
2021-09-22 18:00:00;17.8;4.254882;12.707296
2021-09-22 18:10:00;17.9;4.162776;12.839475
2021-09-22 18:20:00;17.7;4.131653;12.575117
2021-09-22 18:30:00;17.5;4.155122;12.310758
2021-09-22 18:40:00;17.3;4.357894;12.0464
2021-09-22 18:50:00;16.7;4.158515;11.253325
2021-09-22 19:00:00;16.2;4.158516;10.592429
2021-09-22 19:10:00;15.8;4.007432;10.063713
2021-09-22 19:20:00;15.4;4.235458;9.534996
2021-09-22 19:30:00;15.2;4.233763;9.270638
2021-09-22 19:40:00;14.8;4.157393;8.741921
2021-09-22 19:50:00;14.3;4.056311;8.081025
2021-09-22 20:00:00;13.8;4.125377;7.978227
2021-09-22 20:10:00;13.3;4.314057;7.978227
2021-09-22 20:20:00;12.9;4.227073;7.978227
2021-09-22 20:30:00;12.5;4.158832;7.978227
2021-09-22 20:40:00;12.5;4.078618;7.978227
2021-09-22 20:50:00;12.0;4.235809;7.978227
2021-09-22 21:00:00;11.5;4.248572;7.978227
2021-09-22 21:10:00;11.1;4.232782;8.101437
2021-09-22 21:20:00;11.2;3.995397;8.007287
2021-09-22 21:30:00;11.1;4.098396;8.101437
2021-09-22 21:40:00;10.7;4.197782;8.478038
2021-09-22 21:50:00;11.1;4.288225;8.101437
2021-09-22 22:00:00;11.0;4.108512;8.195587
2021-09-22 22:10:00;10.6;4.011398;8.572188
2021-09-22 22:20:00;10.1;4.132507;9.042938
2021-09-22 22:30:00;9.9;4.177687;9.231238
2021-09-22 22:40:00;10.0;4.281528;9.137088
2021-09-22 22:50:00;9.9;4.001231;9.231238
2021-09-22 23:00:00;9.4;4.066263;9.701988
2021-09-22 23:10:00;9.2;4.094582;9.890288
2021-09-22 23:20:00;8.9;4.222987;10.172738
2021-09-22 23:30:00;8.9;4.209352;10.172738
2021-09-22 23:40:00;8.7;3.960526;10.361039
2021-09-22 23:50:00;8.8;4.052743;10.266889
2021-09-23 00:00:00;8.8;4.085295;10.266889
2021-09-23 00:10:00;8.7;4.190019;10.361039
2021-09-23 00:20:00;8.7;4.148132;10.361039
2021-09-23 00:30:00;8.5;3.965664;10.548853
2021-09-23 00:40:00;8.4;4.091612;10.642535
2021-09-23 00:50:00;8.1;4.057268;10.92358
2021-09-23 01:00:00;8.1;4.178052;10.92358
2021-09-23 01:10:00;8.0;4.026066;11.017262
2021-09-23 01:20:00;7.9;3.956848;11.110944
2021-09-23 01:30:00;7.4;0.759774;11.579352
2021-09-23 01:40:00;7.7;0.386594;11.298307
2021-09-23 01:50:00;7.8;0.510286;11.204625
2021-09-23 02:00:00;7.5;0.334445;11.48567
2021-09-23 02:10:00;7.0;0.402666;11.954079
2021-09-23 02:20:00;7.0;0.358444;11.954079
2021-09-23 02:30:00;7.1;0.436987;11.860397
2021-09-23 02:40:00;7.6;0.450234;11.391989
2021-09-23 02:50:00;7.4;0.411914;11.579352
2021-09-23 03:00:00;7.4;0.402356;11.579352
2021-09-23 03:10:00;6.9;0.351652;12.047761
2021-09-23 03:20:00;6.9;0.455939;12.047761
2021-09-23 03:30:00;6.7;0.405396;12.235124
2021-09-23 03:40:00;6.2;0.440125;12.703533
2021-09-23 03:50:00;6.6;0.376053;12.328806
2021-09-23 04:00:00;6.5;0.383779;12.422488
2021-09-23 04:10:00;6.7;0.423021;12.235124
2021-09-23 04:20:00;6.9;0.4225;12.047761
2021-09-23 04:30:00;7.0;0.468943;11.954079
2021-09-23 04:40:00;7.0;0.349262;11.954079
2021-09-23 04:50:00;6.6;0.387557;12.328806
