Zeit_UTC;°C_Umgebung;kW_gemessen;kW_Baseline
2022-04-22 10:40:00;14.4;0.338121;6.4036
2022-04-22 10:50:00;13.8;2.108147;5.624404
2022-04-22 11:00:00;13.9;0.251307;6.31266
2022-04-22 11:10:00;14.3;0.355138;6.385412
2022-04-22 11:20:00;14.7;2.573357;5.69963
2022-04-22 11:30:00;14.9;2.531782;5.716347
2022-04-22 11:40:00;14.9;2.584161;5.716347
2022-04-22 11:50:00;15.2;2.569067;5.741422
2022-04-22 12:00:00;15.6;2.553984;5.774856
2022-04-22 12:10:00;15.5;2.579776;5.766498
2022-04-22 12:20:00;15.4;2.535518;5.758139
2022-04-22 12:30:00;15.6;2.512734;5.774856
2022-04-22 12:40:00;16.2;2.554819;6.080395
2022-04-22 12:50:00;16.8;2.572119;6.834021
2022-04-22 13:00:00;16.6;2.559229;6.582812
2022-04-22 13:10:00;16.9;2.461336;6.959625
2022-04-22 13:20:00;17.4;2.554913;7.587646
2022-04-22 13:30:00;17.3;2.547212;7.462042
2022-04-22 13:40:00;17.4;2.598761;7.587646
2022-04-22 13:50:00;17.6;2.588652;7.838855
2022-04-22 14:00:00;16.8;2.555171;6.834021
2022-04-22 14:10:00;17.9;2.594789;8.215667
2022-04-22 14:20:00;16.9;2.54277;6.959625
2022-04-22 14:30:00;17.0;2.548127;7.085229
2022-04-22 14:40:00;17.7;2.592739;7.964459
2022-04-22 14:50:00;17.8;2.567069;8.090063
2022-04-22 15:00:00;17.1;4.814075;7.210833
2022-04-22 15:10:00;17.8;3.350836;8.090063
2022-04-22 15:20:00;18.0;4.772579;8.341272
2022-04-22 15:30:00;18.1;3.148635;8.466876
2022-04-22 15:40:00;17.7;2.553792;7.964459
2022-04-22 15:50:00;17.7;2.552163;7.964459
2022-04-22 16:00:00;17.4;2.55379;7.587646
2022-04-22 16:10:00;17.7;2.553851;7.964459
2022-04-22 16:20:00;17.6;2.551182;7.838855
2022-04-22 16:30:00;17.4;2.553885;7.587646
2022-04-22 16:40:00;17.6;2.552651;7.838855
2022-04-22 16:50:00;17.2;2.556747;7.336438
2022-04-22 17:00:00;17.1;2.559828;7.210833
2022-04-22 17:10:00;16.6;2.562772;6.582812
2022-04-22 17:20:00;16.7;2.560281;6.708417
2022-04-22 17:30:00;16.4;2.521729;6.331604
2022-04-22 17:40:00;16.5;2.50204;6.457208
2022-04-22 17:50:00;16.0;2.487858;5.80829
2022-04-22 18:00:00;15.8;2.478169;5.791573
2022-04-22 18:10:00;15.7;2.475025;5.783214
2022-04-22 18:20:00;15.1;2.479578;5.733064
2022-04-22 18:30:00;14.3;2.483701;5.666196
2022-04-22 18:40:00;14.6;2.481561;5.691272
2022-04-22 18:50:00;14.5;2.485979;5.682913
2022-04-22 19:00:00;14.7;2.485065;5.69963
2022-04-22 19:10:00;14.1;2.48779;5.64948
2022-04-22 19:20:00;14.1;2.490045;5.64948
2022-04-22 19:30:00;12.9;2.490477;5.549178
2022-04-22 19:40:00;12.4;2.49348;5.507386
2022-04-22 19:50:00;12.4;2.494191;5.507386
2022-04-22 20:00:00;12.2;2.500528;5.49067
2022-04-22 20:10:00;11.3;2.494898;5.394754
2022-04-22 20:20:00;11.5;2.493114;5.379827
2022-04-22 20:30:00;11.6;2.502891;5.440519
2022-04-22 20:40:00;11.7;2.497513;5.448877
2022-04-22 20:50:00;10.7;2.496707;5.439535
2022-04-22 21:00:00;10.9;2.498836;5.424608
2022-04-22 21:10:00;10.9;2.498157;5.424608
2022-04-22 21:20:00;10.8;2.498176;5.432072
2022-04-22 21:30:00;10.3;2.825216;5.46939
2022-04-22 21:40:00;10.8;8.710208;5.432072
2022-04-22 21:50:00;10.2;6.534322;5.476853
2022-04-22 22:00:00;9.7;6.933357;5.514171
2022-04-22 22:10:00;9.0;8.548898;5.566416
2022-04-22 22:20:00;8.9;6.340828;5.57388
2022-04-22 22:30:00;9.4;6.580893;5.536562
2022-04-22 22:40:00;9.9;7.29926;5.499244
2022-04-22 22:50:00;10.6;6.308257;5.446999
2022-04-22 23:00:00;10.4;6.769537;5.461926
2022-04-22 23:10:00;9.3;5.713577;5.544025
2022-04-22 23:20:00;9.4;7.771203;5.536562
2022-04-22 23:30:00;9.1;7.16737;5.558953
